Jobs_per_ 1Minute,Jobs_per_ 5 Minutes,Jobs_per_ 15Minutes,Mem capacity,Disk_capacity_GB,Num_of_CPU_Cores,CPU_speed_per_Core,Avg_Recieve_Kbps,Avg_Transmit_Kbps,Class_Name
12.091,11.364,11.545,12,128.72872,6,1,31.248,31.248,'Very Low'
12.1,11.8,12.9,12,128.72872,6,1,31.248,31.248,'Low'
11.909,12.727,13.0,12,128.72872,6,1,31.248,31.248,'Very Low'
14.364,14.182,15.0,12,128.72872,6,1,31.248,31.248,'Very Low'
13.7,14.4,14.2,12,128.72872,6,1,31.248,31.248,'Low'
9.727,9.818,9.727,12,128.72872,6,1,31.248,31.248,'Very Low'
5.545,5.818,6.182,12,128.72872,6,1,31.248,31.248,'Very Low'
3.8,4.7,5.5,12,128.72872,6,1,31.248,31.248,'Very Low'
4.273,4.909,5.545,12,128.72872,6,1,31.248,31.248,'Very Low'
3.4,4.5,5.5,12,128.72872,6,1,31.248,31.248,'Low'
3.636,5.0,5.636,12,128.72872,6,1,31.248,31.248,'Very Low'
5.5,5.2,5.9,12,128.72872,6,1,31.248,31.248,'Very Low'
7.909,9.273,11.182,12,128.72872,6,1,31.248,31.248,'Very Low'
10.1,9.2,8.1,12,128.72872,6,1,31.248,31.248,'Low'
5.364,5.636,6.273,12,128.72872,6,1,31.248,31.248,'Very Low'
4.636,5.545,5.909,12,128.72872,6,1,31.248,31.248,'Very Low'
4.0,5.4,6.2,12,128.72872,6,1,31.248,31.248,'Very Low'
7.455,6.818,7.273,12,128.72872,6,1,31.248,31.248,'Very Low'
6.0,7.5,9.1,12,128.72872,6,1,31.248,31.248,'Very Low'
12.4,13.7,13.5,12,128.72872,6,1,31.248,31.248,'Very Low'
8.091,9.091,9.545,12,128.72872,6,1,31.248,31.248,'Very Low'
11.182,12.0,13.0,12,128.72872,6,1,31.248,31.248,'Very Low'
14.1,14.4,14.1,12,128.72872,6,1,31.248,31.248,'Low'
